Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,10.000000,11.410000,9.110000,9.500000,9.500000,338584400
2020-10-01,9.690000,10.100000,9.230000,9.460000,9.460000,124297600
2020-10-02,9.060000,9.280000,8.940000,9.200000,9.200000,55018300
2020-10-05,9.430000,9.490000,8.920000,9.030000,9.030000,36316900
2020-10-06,9.040000,10.180000,8.900000,9.900000,9.900000,90864000
2020-10-07,10.040000,10.490000,9.990000,10.000000,10.000000,54672400
2020-10-08,10.290000,10.400000,9.990000,10.000000,10.000000,34989200
2020-10-09,10.130000,10.190000,9.890000,9.950000,9.950000,19653500
2020-10-12,10.040000,10.050000,9.660000,9.890000,9.890000,20623600
2020-10-13,9.880000,9.880000,9.410000,9.470000,9.470000,21847200
2020-10-14,9.600000,9.660000,9.290000,9.340000,9.340000,13652600
2020-10-15,9.270000,9.910000,9.180000,9.910000,9.910000,12924100
2020-10-16,9.940000,9.950000,9.660000,9.710000,9.710000,11142500
2020-10-19,9.790000,9.820000,9.530000,9.570000,9.570000,9126400
2020-10-20,9.600000,9.660000,9.270000,9.270000,9.270000,11138200
2020-10-21,9.300000,9.480000,9.200000,9.200000,9.200000,9190000
2020-10-22,9.370000,9.750000,9.220000,9.680000,9.680000,17928600
2020-10-23,9.710000,9.830000,9.470000,9.490000,9.490000,12618000
2020-10-26,9.720000,9.970000,9.600000,9.950000,9.950000,23767300
2020-10-27,10.000000,11.040000,9.920000,10.950000,10.950000,53695900
2020-10-28,10.660000,10.985000,10.100000,10.850000,10.850000,30941700
2020-10-29,10.900000,11.100000,10.560000,10.750000,10.750000,20515700
2020-10-30,10.610000,10.680000,9.850000,10.130000,10.130000,19705500
2020-11-02,10.230000,10.570000,10.230000,10.540000,10.540000,11677800
2020-11-03,10.570000,10.940000,10.440000,10.500000,10.500000,21652800
2020-11-04,10.820000,10.920000,10.550000,10.720000,10.720000,15783400
2020-11-05,10.900000,12.130000,10.850000,11.880000,11.880000,48560400
2020-11-06,12.220000,14.960000,12.050000,13.830000,13.830000,89977600
2020-11-09,14.960000,15.900000,14.110000,14.670000,14.670000,60099000
2020-11-10,14.990000,15.010000,13.180000,14.000000,14.000000,38078700
2020-11-11,14.570000,15.970000,14.400000,15.960000,15.960000,47027900
2020-11-12,16.660000,17.059999,14.410000,14.580000,14.580000,97904000
2020-11-13,14.490000,16.000000,14.490000,15.800000,15.800000,76354800
2020-11-16,15.960000,16.100000,15.010000,15.930000,15.930000,65326000
2020-11-17,16.290001,18.750000,16.180000,17.850000,17.850000,116618500
2020-11-18,18.280001,19.250000,17.540001,17.900000,17.900000,89957900
2020-11-19,18.500000,18.980000,17.959999,18.980000,18.980000,56225400
2020-11-20,19.030001,19.660000,18.000000,18.150000,18.150000,72104000
2020-11-23,18.629999,21.450001,18.570000,21.040001,21.040001,84716300
2020-11-24,22.350000,24.270000,20.629999,23.820000,23.820000,115468800
2020-11-25,23.959999,29.750000,23.690001,29.049999,29.049999,202563700
2020-11-27,31.190001,33.500000,26.120001,27.660000,27.660000,207834000
2020-11-30,28.240000,30.150000,24.110001,27.110001,27.110001,137243000
2020-12-01,28.090000,28.139999,24.450001,25.670000,25.670000,84539800
2020-12-02,22.240000,23.400000,21.150000,22.510000,22.510000,149062100
